Title	ISSN	Field	Field2	Documentation
IEEE Transactions on Neural Networks and Learning Systems	2162-237X	engineering	communications	http://ieeexplore.ieee.org/servlet/opac?punumber=5962385
IEEE Transactions on Neural Systems and Rehabilitation Engineering	1534-4320	engineering	communications	http://ieeexplore.ieee.org/servlet/opac?punumber=7333
IEEE Transactions on Nuclear Science	0018-9499	engineering	communications	http://ieeexplore.ieee.org/servlet/opac?punumber=23
IEEE Transactions on Parallel and Distributed Systems	1045-9219	engineering	communications	http://ieeexplore.ieee.org/servlet/opac?punumber=71
IEEE Transactions on Pattern Analysis and Machine Intelligence	0162-8828	engineering	communications	http://ieeexplore.ieee.org/servlet/opac?punumber=34
IEEE Transactions on Plasma Science	0093-3813	engineering	communications	http://ieeexplore.ieee.org/servlet/opac?punumber=27
IEEE Transactions on Power Delivery	0885-8977	engineering	communications	http://ieeexplore.ieee.org/servlet/opac?punumber=61
IEEE Transactions on Power Electronics	0885-8993	engineering	communications	http://ieeexplore.ieee.org/servlet/opac?punumber=63
IEEE Transactions on Power Systems	0885-8950	engineering	communications	http://ieeexplore.ieee.org/servlet/opac?punumber=59
IEEE Transactions on Professional Communication	0361-1434	engineering	communications	http://ieeexplore.ieee.org/servlet/opac?punumber=47
IEEE Transactions on Reliability	0018-9529	engineering	communications	http://ieeexplore.ieee.org/servlet/opac?punumber=24
IEEE Transactions on Robotics	1552-3098	engineering	communications	http://ieeexplore.ieee.org/servlet/opac?punumber=8860
IEEE Transactions on Semiconductor Manufacturing	0894-6507	engineering	communications	http://ieeexplore.ieee.org/servlet/opac?punumber=66
IEEE Transactions on Services Computing	1939-1374	engineering	communications	http://ieeexplore.ieee.org/servlet/opac?punumber=4629386
IEEE Transactions on Signal Processing	1053-587X	engineering	communications	http://ieeexplore.ieee.org/servlet/opac?punumber=78
IEEE Transactions on Smart Grid	1949-3053	engineering	communications	http://ieeexplore.ieee.org/servlet/opac?punumber=5165411
IEEE Transactions on Software Engineering	0098-5589	engineering	communications	http://ieeexplore.ieee.org/servlet/opac?punumber=32
IEEE Transactions on Sustainable Energy	1949-3029	engineering	communications	http://ieeexplore.ieee.org/servlet/opac?punumber=5165391
IEEE Transactions on Systems, Man, and Cybernetics: Systems	2168-2216	engineering	communications	http://ieeexplore.ieee.org/servlet/opac?punumber=6221021
IEEE Transactions on Terahertz Science and Technology	2156-342X	engineering	communications	http://ieeexplore.ieee.org/servlet/opac?punumber=5503871
IEEE Transactions on Ultrasonics, Ferroelectrics and Frequency Control	0885-3010	engineering	communications	http://ieeexplore.ieee.org/servlet/opac?punumber=58
IEEE Transactions on Vehicular Technology	0018-9545	engineering	communications	http://ieeexplore.ieee.org/servlet/opac?punumber=25
IEEE Transactions on Very Large Scale Integration (VLSI) Systems	1063-8210	engineering	communications	http://ieeexplore.ieee.org/servlet/opac?punumber=92
IEEE Transactions on Visualization and Computer Graphics	1077-2626	engineering	communications	http://ieeexplore.ieee.org/servlet/opac?punumber=2945
IEEE Transactions on Wireless Communications	1536-1276	engineering	communications	http://ieeexplore.ieee.org/servlet/opac?punumber=7693
IEEE Vehicular Technology Magazine	1556-6072	engineering	communications	http://ieeexplore.ieee.org/servlet/opac?punumber=10209
IEEE Wireless Communications	1536-1284	engineering	communications	http://ieeexplore.ieee.org/servlet/opac?punumber=7742
IEEE Wireless Communications Letters	2162-2337	engineering	communications	http://ieeexplore.ieee.org/servlet/opac?punumber=5962382
IEEE Women in Engineering Magazine	1942-065X	engineering	communications	http://ieeexplore.ieee.org/servlet/opac?punumber=4509581
IEEE/ACM Transactions on Audio, Speech, and Language Processing	2329-9290	engineering	communications	http://ieeexplore.ieee.org/servlet/opac?punumber=6570655
