Title	TitleShort	ISSN	EISSN	Parent	Format	Field	Locale
Experimental Brain Research	Exp Brain Res	0014-4819	1432-1106	springer-basic-author-date	author-date	science	en-US
Inventiones mathematicae	Invent. math.	0020-9910	1432-1297	springer-mathphys-brackets	numeric	science	en-US
Calcified Tissue International	Calcif Tissue Int	0171-967X	1432-0827	springer-basic-brackets	numeric	science	en-US
Theory of Computing Systems	Theory Comput Syst	1432-4350	1433-0490	springer-mathphys-brackets	numeric	science	en-US
Wood Science and Technology	Wood Sci Technol	0043-7719	1432-5225	springer-basic-author-date	author-date	science	en-US
Marine Biology	Mar Biol	0025-3162	1432-1793	springer-basic-author-date	author-date	science	en-US
European Journal of Clinical Pharmacology	Eur J Clin Pharmacol	0031-6970	1432-1041	springer-basic-brackets	numeric	science	en-US
Manuscripta Mathematica	manuscripta math.	0025-2611	1432-1785	springer-mathphys-brackets	numeric	science	en-US
Heat and Mass Transfer	Heat Mass Transfer	0947-7411	1432-1181	springer-basic-brackets	numeric	science	en-US
Semigroup Forum	Semigroup Forum	0037-1912	1432-2137	springer-mathphys-brackets	numeric	science	en-US
Neuroradiology	Neuroradiology	0028-3940	1432-1920	springer-basic-brackets	numeric	science	en-US
European Journal of Plastic Surgery	Eur J Plast Surg	0930-343X	1435-0130	springer-basic-brackets	numeric	science	en-US
Journal of Molecular Evolution	J Mol Evol	0022-2844	1432-1432	springer-basic-author-date	author-date	science	en-US
Urolithiasis	Urolithiasis	2194-7228	2194-7236	springer-basic-brackets	numeric	science	en-US
Archives of Environmental Contamination and Toxicology	Arch Environ Contam Toxicol	0090-4341	1432-0703	springer-basic-author-date	author-date	science	en-US
Applied Mathematics & Optimization	Appl Math Optim	0095-4616	1432-0606	springer-mathphys-brackets	numeric	science	en-US
Pediatric Cardiology	Pediatr Cardiol	0172-0643	1432-1971	springer-basic-brackets	numeric	science	en-US
Pediatric Radiology	Pediatr Radiol	0301-0449	1432-1998	springer-basic-brackets	numeric	science	en-US
Microbial Ecology	Microb Ecol	0095-3628	1432-184X	springer-basic-brackets	numeric	science	en-US
European Biophysics Journal	Eur Biophys J 	0175-7571	1432-1017	springer-basic-author-date	author-date	science	en-US
Immunogenetics	Immunogenetics	0093-7711	1432-1211	springer-basic-author-date	author-date	science	en-US
Applied Microbiology and Biotechnology	Appl Microbiol Biotechnol	0175-7598	1432-0614	springer-basic-author-date	author-date	science	en-US
Skeletal Radiology	Skeletal Radiol	0364-2348	1432-2161	springer-vancouver-brackets	numeric	medicine	en-US
European Journal of Nuclear Medicine and Molecular Imaging	Eur J Nucl Med Mol Imaging	1619-7070	1619-7089	springer-vancouver-brackets	numeric	medicine	en-US
Cancer Immunology, Immunotherapy	Cancer Immunol Immunother	0340-7004	1432-0851	springer-basic-brackets	numeric	science	en-US
International Orthopaedics	International Orthopaedics (SICOT)	0341-2695	1432-5195	springer-basic-brackets	numeric	science	en-US
Behavioral Ecology and Sociobiology	Behav Ecol Sociobiol	0340-5443	1432-0762	springer-basic-author-date	author-date	science	en-US
Aesthetic Plastic Surgery	Aesth Plast Surg	0364-216X	1432-5241	springer-basic-brackets	numeric	science	en-US
Environmental Management	Environmental Management	0364-152X	1432-1009	springer-basic-author-date	author-date	science	en-US
World Journal of Surgery	World J Surg	0364-2313	1432-2323	springer-basic-brackets	numeric	science	en-US
Physics and Chemistry of Minerals	Phys Chem Minerals	0342-1791	1432-2021	springer-basic-author-date	author-date	science	en-US
CardioVascular and Interventional Radiology	Cardiovasc Intervent Radiol	0174-1551	1432-086X	springer-basic-brackets	numeric	science	en-US
Irrigation Science	Irrig Sci	0342-7188	1432-1319	springer-basic-author-date	author-date	science	en-US
Surgical and Radiologic Anatomy	Surg Radiol Anat	0930-1038	1279-8517	springer-basic-brackets	numeric	science	en-US
Annals of Hematology	Ann Hematol	0939-5555	1432-0584	springer-basic-brackets	numeric	science	en-US
Psychotherapeut (German)		0935-6185	1432-2080	springer-basic-author-date	author-date		de-DE
Cancer Chemotherapy and Pharmacology	Cancer Chemother Pharmacol	0344-5704	1432-0843	springer-basic-brackets	numeric	science	en-US
Seminars in Immunopathology	Semin Immunopathol	1863-2297	1863-2300	springer-basic-brackets	numeric	science	en-US
Current Microbiology	Curr Microbiol	0343-8651	1432-0991	springer-basic-brackets	numeric	science	en-US
Journal of Mathematical Biology	J. Math. Biol.	0303-6812	1432-1416	springer-basic-author-date	author-date	science	en-US
Informatik-Spektrum (German)	Informatik Spektrum	0170-6012	1432-122X	springer-basic-brackets	numeric	science	de-DE
Polymer Bulletin	Polym. Bull.	0170-0839	1436-2449	springer-basic-brackets	numeric	science	en-US
OR Spectrum	OR Spectrum	0171-6468	1436-6304	springer-basic-author-date	author-date	science	en-US
Der Pathologe (German)		0172-8113	1432-1963	springer-basic-brackets	numeric		de-DE
Current Genetics	Curr Genet	0172-8083	1432-0983	springer-basic-author-date	author-date	science	en-US
Rheumatology International	Rheumatol Int	0172-8172	1437-160X	springer-basic-brackets	numeric	science	en-US
Plant Cell Reports	Plant Cell Rep	0721-7714	1432-203X	springer-basic-author-date	author-date	science	en-US
Polar Biology	Polar Biol	0722-4060	1432-2056	springer-basic-author-date	author-date	science	en-US
European Radiology	Eur Radiol	0938-7994	1432-1084	springer-basic-brackets	numeric	science	en-US
Journal of Nonlinear Science	J Nonlinear Sci	0938-8974	1432-1467	springer-mathphys-author-date	author-date	science	en-US
Vegetation History and Archaeobotany	Veget Hist Archaeobot	0939-6314	1617-6278	springer-basic-author-date	author-date	science	en-US
Mammalian Genome	Mamm Genome	0938-8990	1432-1777	springer-basic-author-date	author-date	science	en-US
Coral Reefs	Coral Reefs	0722-4028	1432-0975	springer-basic-author-date	author-date	science	en-US
Applied Physics A	Appl. Phys. A	0947-8396	1432-0630	springer-physics-brackets	numeric	physics	en-US
Applied Physics B	Appl. Phys. B	0946-2171	1432-0649	springer-physics-brackets	numeric	physics	en-US
Journal of Plant Growth Regulation	J Plant Growth Regul	0721-7595	1435-8107	springer-basic-author-date	author-date	science	en-US
World Journal of Urology	World J Urol	0724-4983	1433-8726	springer-basic-brackets	numeric	science	en-US
Experiments in Fluids	Exp Fluids	0723-4864	1432-1114	springer-basic-author-date	author-date	science	en-US
Social Choice and Welfare	Soc Choice Welf	0176-1714	1432-217X	springer-basic-author-date	author-date	science	en-US
Journal of Comparative Physiology A	J Comp Physiol A	0340-7594	1432-1351	springer-basic-author-date	author-date	science	en-US
Journal of Comparative Physiology B	J Comp Physiol B	0174-1578	1432-136X	springer-basic-author-date	author-date	science	en-US
Statistical Papers	Stat Papers	0932-5026	1613-9798	springer-basic-author-date	author-date	science	en-US
Constructive Approximation	Constr Approx	0176-4276	1432-0940	springer-mathphys-brackets	numeric	science	en-US
Engineering with Computers	Engineering with Computers	0177-0667	1435-5663	springer-basic-brackets	numeric	science	en-US
Geo-Marine Letters	Geo-Mar Lett	0276-0460	1432-1157	springer-basic-author-date	author-date	science	en-US
The Visual Computer	Vis Comput	0178-2789	1432-2315	springer-mathphys-brackets	numeric	science	en-US
Graphs and Combinatorics	Graphs and Combinatorics	0911-0119	1435-5914	springer-mathphys-brackets	numeric	science	en-US
Biology and Fertility of Soils	Biol Fertil Soils	0178-2762	1432-0789	springer-basic-author-date	author-date	science	en-US
Heart and Vessels	Heart Vessels	0910-8327	1615-2573	springer-basic-brackets	numeric	science	en-US
Child's Nervous System	Childs Nerv Syst	0256-7040	1433-0350	springer-basic-brackets	numeric	science	en-US
Climate Dynamics	Clim Dyn	0930-7575	1432-0894	springer-basic-author-date	author-date	science	en-US
Pediatric Surgery International	Pediatr Surg Int	0179-0358	1437-9813	springer-basic-brackets	numeric	science	en-US
International Journal of Colorectal Disease+B3	Int J Colorectal Dis	0179-1958	1432-1262	springer-basic-brackets	numeric	science	en-US
Zeitschrift für Gerontologie und Geriatrie (German)		0948-6704	1435-1269	springer-basic-brackets	numeric		de-DE
Clinical Research in Cardiology	Clin Res Cardiol	1861-0684	1861-0692	springer-basic-brackets	numeric	science	en-US
European Journal of Nutrition	Eur J Nutr	1436-6207	1436-6215	springer-basic-brackets	numeric	science	en-US
Basic Research in Cardiology	Basic Res Cardiol	0300-8428	1435-1803	springer-basic-brackets	numeric	science	en-US
Colloid and Polymer Science	Colloid Polym Sci	0303-402X	1435-1536	springer-basic-brackets	numeric	science	en-US
Rheologica Acta	Rheol Acta	0035-4511	1435-1528	springer-basic-author-date	author-date	science	en-US
Herzschrittmachertherapie + Elektrophysiologie (German)	Herzschr Elektrophys	0938-7412	1435-1544	springer-basic-brackets	numeric	science	de-DE
Acta Neuropathologica	Acta Neuropathol	0001-6322	1432-0533	springer-basic-brackets	numeric	science	en-US
Archives of Orthopaedic and Trauma Surgery	Arch Orthop Trauma Surg	0936-8051	1434-3916	springer-basic-brackets	numeric	science	en-US
Archives of Dermatological Research	Arch Dermatol Res	0340-3696	1432-069X	springer-basic-brackets	numeric	science	en-US
Archives of Gynecology and Obstetrics	Arch Gynecol Obstet	0932-0067	1432-0711	springer-basic-brackets	numeric	science	en-US
