Title	TitleShort	ISSN	EISSN	Parent	Format	Field	Locale
Journal of Materials Engineering and Performance	J. of Materi Eng and Perform	1059-9495	1544-1024	springer-physics-brackets	numeric	physics	en-US
Journal of Thermal Spray Technology	J Therm Spray Tech	1059-9630	1544-1016	springer-physics-brackets	numeric	physics	en-US
Journal of Failure Analysis and Prevention	J Fail. Anal. and Preven.	1547-7029	1864-1245	springer-physics-brackets	numeric	physics	en-US
Journal of Phase Equilibria and Diffusion	J. Phase Equilib. Diffus.	1547-7037	1863-7345	springer-physics-brackets	numeric	physics	en-US
Nanoscale Research Letters		1931-7573	1556-276X	springer-basic-brackets	numeric		en-US
Journal of Forestry Research		1007-662X	1993-0607	springer-basic-author-date	author-date		en-US
Obere Extremität (German)	Obere Extremität	1862-6599	1862-6602	springer-basic-brackets	numeric	science	de-DE
Brain Imaging and Behavior	Brain Imaging and Behavior	1931-7557	1931-7565	springer-socpsych-author-date	author-date	psychology	en-US
Journal of Neurodevelopmental Disorders		1866-1947	1866-1955	springer-vancouver-brackets	numeric		en-US
Evolutionary Biology	Evol Biol	0071-3260	1934-2845	springer-socpsych-author-date	author-date	psychology	en-US
Systems and Synthetic Biology	Syst Synth Biol	1872-5325	1872-5333	springer-basic-author-date	author-date	science	en-US
Journal of Food Measurement and Characterization	Food Measure	2193-4126	2193-4134	springer-physics-brackets	numeric	physics	en-US
Obesity Surgery	OBES SURG	0960-8923	1708-0428	springer-vancouver-brackets	numeric	medicine	en-US
Cliometrica	Cliometrica	1863-2505	1863-2513	springer-basic-author-date	author-date	science	en-US
Journal of Robotic Surgery	J Robotic Surg	1863-2483	1863-2491	springer-basic-brackets	numeric	science	en-US
Swarm Intelligence	Swarm Intell	1935-3812	1935-3820	springer-socpsych-author-date	author-date	psychology	en-US
Acta Physiologiae Plantarum	Acta Physiol Plant	0137-5881	1861-1664	springer-basic-author-date	author-date	science	en-US
Internal and Emergency Medicine	Intern Emerg Med	1828-0447	1970-9366	springer-basic-brackets	numeric	science	en-US
Production Engineering	Prod. Eng. Res. Devel.	0944-6524	1863-7353	springer-basic-brackets	numeric	science	en-US
Journal of Surfactants and Detergents	J Surfact Deterg	1097-3958	1558-9293	springer-basic-brackets	numeric	science	en-US
Lipids	Lipids	0024-4201	1558-9307	springer-basic-brackets	numeric	science	en-US
Journal of the American Oil Chemists' Society	J Am Oil Chem Soc	0003-021X	1558-9331	springer-basic-brackets	numeric	science	en-US
Journal of the Academy of Marketing Science	J. of the Acad. Mark. Sci.	0092-0703	1552-7824	springer-socpsych-author-date	author-date	psychology	en-US
General Thoracic and Cardiovascular Surgery	Gen Thorac Cardiovasc Surg 	1863-6705	1863-6713	springer-vancouver-brackets	numeric	medicine	en-US
TEST	TEST	1133-0686	1863-8260	springer-basic-author-date	author-date	science	en-US
TOP	TOP	1134-5764	1863-8279	springer-basic-author-date	author-date	science	en-US
Strategies in Trauma and Limb Reconstruction	Strat Traum Limb Recon	1828-8936	1828-8928	springer-basic-brackets	numeric	science	en-US
Forensische Psychiatrie, Psychologie, Kriminologie (German)	Forens Psychiatr Psychol Kriminol	1862-7072	1862-7080	springer-basic-brackets	numeric	science	de-DE
Signal, Image and Video Processing	SIViP	1863-1703	1863-1711	springer-mathphys-brackets	numeric	science	en-US
Service Oriented Computing and Applications	SOCA	1863-2386	1863-2394	springer-basic-brackets	numeric	science	en-US
Journal of Cancer Survivorship	J Cancer Surviv	1932-2259	1932-2267	springer-vancouver-brackets	numeric	medicine	en-US
Complex Analysis and Operator Theory	Complex Anal. Oper. Theory	1661-8254	1661-8262	springer-mathphys-brackets	numeric	science	en-US
Mathematics in Computer Science	Math.Comput.Sci.	1661-8270	1661-8289	springer-mathphys-brackets	numeric	science	en-US
Logica Universalis	Log. Univers.	1661-8297	1661-8300	springer-mathphys-brackets	numeric	science	en-US
Clinical Research in Cardiology Supplements (German)	Clin Res Cardiol Suppl	1861-0706	1861-0714	springer-basic-brackets	numeric	science	de-DE
Wiener klinische Wochenschrift Education (German)	Wien. Klin. Wochenschr. Educ	1863-3579	1863-3765	springer-vancouver-brackets	numeric	medicine	de-DE
Plant Biotechnology Reports	Plant Biotechnol Rep	1863-5466	1863-5474	springer-basic-author-date	author-date	science	en-US
medizinische genetik (German)		0936-5931	1863-5490	springer-basic-brackets	numeric		de-DE
Arthropod-Plant Interactions	Arthropod-Plant Interactions	1872-8855	1872-8847	springer-basic-author-date	author-date	science	en-US
Archives of Computational Methods in Engineering	Arch Computat Methods Eng	1134-3060	1886-1784	springer-basic-brackets	numeric	science	en-US
Journal of Children's Orthopaedics	J Child Orthop	1863-2521	1863-2548	springer-basic-brackets	numeric	science	en-US
JOM	JOM	1047-4838	1543-1851	springer-physics-brackets	numeric	physics	en-US
wissen kompakt (German)		1863-2637	2190-3816	springer-basic-brackets	numeric		de-DE
Sophia	SOPHIA	0038-1527	1873-930X	springer-socpsych-author-date	author-date	psychology	en-US
Small-scale Forestry	Small-scale Forestry	1873-7617	1873-7854	springer-basic-author-date	author-date	science	en-US
Irish Journal of Medical Science (1971 -)	Ir J Med Sci	0021-1265	1863-4362	springer-basic-brackets	numeric	science	en-US
Review of Managerial Science	Rev Manag Sci	1863-6683	1863-6691	springer-basic-author-date	author-date	science	en-US
Journal of Coastal Conservation	J Coast Conserv	1400-0350	1874-7841	springer-basic-author-date	author-date	science	en-US
ZDM	ZDM Mathematics Education	1863-9690	1863-9704	springer-socpsych-author-date	author-date	psychology	en-US
Current Treatment Options in Oncology	Curr. Treat. Options in Oncol.	1527-2729	1534-6277	springer-vancouver-brackets	numeric	medicine	en-US
Journal of Pseudo-Differential Operators and Applications	J. Pseudo-Differ. Oper. Appl.	1662-9981	1662-999X	springer-mathphys-brackets	numeric	science	en-US
Air Quality, Atmosphere & Health	Air Qual Atmos Health	1873-9318	1873-9326	springer-basic-author-date	author-date	science	en-US
Annals of Dyslexia	Ann. of Dyslexia	0736-9387	1934-7243	springer-socpsych-author-date	author-date	psychology	en-US
Current Allergy and Asthma Reports	Curr Allergy Asthma Rep	1529-7322	1534-6315	springer-vancouver-brackets	numeric	medicine	en-US
Current Atherosclerosis Reports	Curr Atheroscler Rep	1523-3804	1534-6242	springer-vancouver-brackets	numeric	medicine	en-US
Current Bladder Dysfunction Reports	Curr Bladder Dysfunct Rep	1931-7212	1931-7220	springer-vancouver-brackets	numeric	medicine	en-US
Current Cardiology Reports	Curr Cardiol Rep	1523-3782	1534-3170	springer-vancouver-brackets	numeric	medicine	en-US
Current Colorectal Cancer Reports	Curr Colorectal Cancer Rep	1556-3790	1556-3804	springer-vancouver-brackets	numeric	medicine	en-US
Current Diabetes Reports	Curr Diab Rep	1534-4827	1539-0829	springer-vancouver-brackets	numeric	medicine	en-US
Current Gastroenterology Reports	Curr Gastroenterol Rep	1522-8037	1534-312X	springer-vancouver-brackets	numeric	medicine	en-US
Journal of Police and Criminal Psychology	J Police Crim Psych	0882-0783	1936-6469	springer-basic-author-date	author-date	science	en-US
Current Heart Failure Reports	Curr Heart Fail Rep	1546-9530	1546-9549	springer-vancouver-brackets	numeric	medicine	en-US
Current Hematologic Malignancy Reports	Curr Hematol Malig Rep	1558-8211	1558-822X	springer-vancouver-brackets	numeric	medicine	en-US
Current Hepatology Reports			2195-9595	springer-vancouver-brackets	numeric		en-US
Current HIV/AIDS Reports	Curr HIV/AIDS Rep	1548-3568	1548-3576	springer-vancouver-brackets	numeric	medicine	en-US
Current Hypertension Reports	Curr Hypertens Rep	1522-6417	1534-3111	springer-vancouver-brackets	numeric	medicine	en-US
Current Infectious Disease Reports	Curr Infect Dis Rep	1523-3847	1534-3146	springer-vancouver-brackets	numeric	medicine	en-US
Current Neurology and Neuroscience Reports	Curr Neurol Neurosci Rep	1528-4042	1534-6293	springer-vancouver-brackets	numeric	medicine	en-US
Current Oncology Reports	Curr Oncol Rep	1523-3790	1534-6269	springer-vancouver-brackets	numeric	medicine	en-US
Current Osteoporosis Reports	Curr Osteoporos Rep	1544-1873	1544-2241	springer-vancouver-brackets	numeric	medicine	en-US
Current Pain and Headache Reports	Curr Pain Headache Rep 	1531-3433	1534-3081	springer-vancouver-brackets	numeric	medicine	en-US
Current Psychiatry Reports	Curr Psychiatry Rep	1523-3812	1535-1645	springer-vancouver-brackets	numeric	medicine	en-US
Current Rheumatology Reports	Curr Rheumatol Rep	1523-3774	1534-6307	springer-vancouver-brackets	numeric	medicine	en-US
Current Sexual Health Reports		1548-3584	1548-3592	springer-vancouver-brackets	numeric		en-US
Current Urology Reports	Curr Urol Rep	1527-2737	1534-6285	springer-vancouver-brackets	numeric	medicine	en-US
Current Treatment Options in Cardiovascular Medicine	Curr Treat Options Cardio Med	1092-8464	1534-3189	springer-vancouver-brackets	numeric	medicine	en-US
Current Treatment Options in Gastroenterology		1092-8472	1534-309X	springer-vancouver-brackets	numeric		en-US
Current Treatment Options in Neurology	Curr Treat Options Neurol	1092-8480	1534-3138	springer-vancouver-brackets	numeric	medicine	en-US
AStA Wirtschafts- und Sozialstatistisches Archiv	AStA Wirtsch Sozialstat Arch	1863-8155	1863-8163	springer-basic-author-date	author-date	science	en-US
Food and Bioprocess Technology	Food Bioprocess Technol	1935-5130	1935-5149	springer-socpsych-author-date	author-date	psychology	en-US
Science and Engineering Ethics	Sci Eng Ethics	1353-3452	1471-5546	springer-socpsych-author-date	author-date	psychology	en-US
International Journal on Interactive Design and Manufacturing (IJIDeM)	Int J Interact Des Manuf	1955-2513	1955-2505	springer-mathphys-brackets	numeric	science	en-US
Applied Biochemistry and Biotechnology	Appl Biochem Biotechnol	0273-2289	1559-0291	springer-socpsych-brackets	numeric	psychology	en-US
Biological Trace Element Research	Biol Trace Elem Res	0163-4984	1559-0720	springer-basic-brackets	numeric	science	en-US
Cardiovascular Toxicology	Cardiovasc Toxicol	1530-7905	1559-0259	springer-socpsych-brackets	numeric	psychology	en-US
Cell Biochemistry and Biophysics	Cell Biochem Biophys	1085-9195	1559-0283	springer-socpsych-brackets	numeric	psychology	en-US
Clinical Proteomics		1542-6416	1559-0275	springer-vancouver-brackets	numeric		en-US
Stem Cell Reviews and Reports	Stem Cell Rev and Rep	1550-8943	1558-6804	springer-socpsych-brackets	numeric	psychology	en-US
Clinical Reviews in Allergy & Immunology	Clinic Rev Allerg Immunol	1080-0549	1559-0267	springer-basic-brackets	numeric	science	en-US
NeuroMolecular Medicine	Neuromol Med	1535-1084	1559-1174	springer-socpsych-author-date	author-date	psychology	en-US
Clinical Reviews in Bone and Mineral Metabolism	Clinic Rev Bone Miner Metab	1534-8644	1559-0119	springer-vancouver-brackets	numeric	medicine	en-US
Endocrine	Endocrine	1355-008X	1559-0100	springer-physics-brackets	numeric	science	en-US
Neuroinformatics	Neuroinform	1539-2791	1559-0089	springer-socpsych-author-date	author-date	psychology	en-US
Forensic Science, Medicine, and Pathology	Forensic Sci Med Pathol	1547-769X	1556-2891	springer-vancouver-brackets	numeric	medicine	en-US
Immunologic Research	Immunol Res	0257-277X	1559-0755	springer-vancouver-brackets	numeric	medicine	en-US
ERA Forum	ERA Forum	1612-3093	1863-9038	springer-mathphys-brackets	numeric	science	en-US
Neurocritical Care	Neurocrit Care	1541-6933	1556-0961	springer-vancouver-brackets	numeric	medicine	en-US
Journal of Gastrointestinal Cancer	J Gastrointest Canc	1941-6628	1941-6636	springer-vancouver-brackets	numeric	medicine	en-US
Journal of Molecular Neuroscience	J Mol Neurosci	0895-8696	1559-1166	springer-basic-author-date	author-date	science	en-US
Medical Oncology	Med Oncol	1357-0560	1559-131X	springer-vancouver-brackets	numeric	medicine	en-US
Molecular Biotechnology	Mol Biotechnol	1073-6085	1559-0305	springer-socpsych-brackets	numeric	psychology	en-US
Molecular Neurobiology	Mol Neurobiol	0893-7648	1559-1182	springer-basic-brackets	numeric	science	en-US
Tropical Plant Biology	Tropical Plant Biol. 	1935-9756	1935-9764	springer-basic-author-date	author-date	science	en-US
Evolution: Education and Outreach		1936-6426	1936-6434	springer-socpsych-author-date	author-date		en-US
Energy Efficiency	Energy Efficiency	1570-646X	1570-6478	springer-socpsych-author-date	author-date	psychology	en-US
Indian Journal of Thoracic and Cardiovascular Surgery	Indian J Thorac Cardiovasc Surg	0970-9134	0973-7723	springer-vancouver-brackets	numeric	medicine	en-US
Applied Spatial Analysis and Policy	Appl. Spatial Analysis	1874-463X	1874-4621	springer-socpsych-author-date	author-date	psychology	en-US
Journal of Population Ageing	Population Ageing	1874-7884	1874-7876	springer-socpsych-author-date	author-date	psychology	en-US
Operations Management Research	Oper Manag Res	1936-9735	1936-9743	springer-basic-author-date	author-date	science	en-US
Theory in Biosciences	Theory Biosci.	1431-7613	1611-7530	springer-basic-author-date	author-date	science	en-US
Evolutionary Intelligence	Evol. Intel.	1864-5909	1864-5917	springer-basic-brackets	numeric	science	en-US
Indian Journal of Otolaryngology and Head & Neck Surgery	Indian J Otolaryngol Head Neck Surg	2231-3796	0973-7707	springer-basic-brackets	numeric	science	en-US
Hepatology International	Hepatol Int	1936-0533	1936-0541	springer-vancouver-brackets	numeric	medicine	en-US
Letters in Spatial and Resource Sciences	Lett Spat Resour Sci	1864-4031	1864-404X	springer-mathphys-author-date	author-date	science	en-US
Chemosensory Perception	Chem. Percept.	1936-5802	1936-5810	springer-basic-author-date	author-date	science	en-US
Journal of Cell Communication and Signaling	J. Cell Commun. Signal.	1873-9601	1873-961X	springer-basic-author-date	author-date	science	en-US
Theoretical Ecology	Theor Ecol	1874-1738	1874-1746	springer-basic-author-date	author-date	science	en-US
Peer-to-Peer Networking and Applications	Peer-to-Peer Netw. Appl.	1936-6442	1936-6450	springer-basic-brackets	numeric	science	en-US
Indian Journal of Microbiology	Indian J Microbiol	0046-8991	0973-7715	springer-basic-brackets	numeric	science	en-US
Clinical and Translational Oncology	Clin Transl Oncol	1699-048X	1699-3055	springer-vancouver-brackets	numeric	science	en-US
Cryptography and Communications	Cryptogr. Commun.	1936-2447	1936-2455	springer-mathphys-brackets	numeric	science	en-US
The Indian Journal of Pediatrics	Indian J Pediatr	0019-5456	0973-7693	springer-vancouver-brackets	numeric	medicine	en-US
American Journal of Criminal Justice	Am J Crim Just	1066-2316	1936-1351	springer-socpsych-author-date	author-date	psychology	en-US
Biomolecular NMR Assignments	Biomol NMR Assign	1874-2718	1874-270X	springer-basic-author-date	author-date	science	en-US
Head and Neck Pathology	Head and Neck Pathol	1936-055X	1936-0568	springer-vancouver-brackets	numeric	medicine	en-US
The American Sociologist	Am Soc	0003-1232	1936-4784	springer-socpsych-author-date	author-date	psychology	en-US
Publishing Research Quarterly	Pub Res Q	1053-8801	1936-4792	springer-vancouver-brackets	numeric	medicine	en-US
Human Nature	Hum Nat	1045-6767	1936-4776	springer-socpsych-author-date	author-date	psychology	en-US
Journal of African American Studies	J Afr Am St	1559-1646	1936-4741	springer-socpsych-author-date	author-date	psychology	en-US
The Review of Black Political Economy	Rev Black Polit Econ	0034-6446	1936-4814	springer-vancouver-author-date	author-date	medicine	en-US
Studies in Comparative International Development	St Comp Int Dev	0039-3606	1936-6167	springer-vancouver-author-date	author-date	medicine	en-US
Trends in Organized Crime	Trends Organ Crim	1084-4791	1936-4830	springer-basic-author-date	author-date	science	en-US
Sexuality & Culture	Sexuality & Culture	1095-5143	1936-4822	springer-socpsych-author-date	author-date	psychology	en-US
Journal of Labor Research	J Labor Res	0195-3613	1936-4768	springer-basic-author-date	author-date	science	en-US
Integrative Psychological and Behavioral Science	Integr. psych. behav.	1932-4502	1936-3567	springer-socpsych-author-date	author-date	psychology	en-US
Ageing International	Ageing Int	0163-5158	1936-606X	springer-socpsych-author-date	author-date	psychology	en-US
International Journal for Ion Mobility Spectrometry	Int. J. Ion Mobil. Spec.	1435-6163	1865-4584	springer-basic-brackets	numeric	science	en-US
Academic Questions	Acad. Quest.	0895-4852	1936-4709	springer-humanities-brackets	numeric	humanities	en-US
Urban Forum	Urban Forum	1015-3802	1874-6330	springer-socpsych-author-date	author-date	psychology	en-US
Journal of International Migration and Integration	Int. Migration & Integration	1488-3473	1874-6365	springer-socpsych-author-date	author-date	psychology	en-US
Acta Analytica	Acta Anal	0353-5150	1874-6349	springer-socpsych-author-date	author-date	psychology	en-US
Current Psychology	Curr Psychol	1046-1310	1936-4733	springer-socpsych-author-date	author-date	psychology	en-US
Earth Science Informatics	Earth Sci Inform	1865-0473	1865-0481	springer-basic-author-date	author-date	science	en-US
Gender Issues	Gend. Issues	1098-092X	1936-4717	springer-socpsych-brackets	numeric	psychology	en-US
Annals of Nuclear Medicine	Ann Nucl Med	0914-7187	1864-6433	springer-vancouver-brackets	numeric	medicine	en-US
Neuroethics	Neuroethics	1874-5490	1874-5504	springer-humanities-brackets	numeric	humanities	en-US
Journal of Chemical Biology	J Chem Biol	1864-6158	1864-6166	springer-basic-brackets	numeric	science	en-US
BioEnergy Research	Bioenerg. Res.	1939-1234	1939-1242	springer-basic-brackets	numeric	science	en-US
Logistics Research	Logist. Res.	1865-035X	1865-0368	springer-basic-brackets	numeric	science	en-US
Food Analytical Methods	Food Anal. Methods	1936-9751	1936-976X	springer-basic-author-date	author-date	science	en-US
Current Cardiovascular Risk Reports	Curr Cardiovasc Risk Rep	1932-9520	1932-9563	springer-vancouver-brackets	numeric	medicine	en-US
Current Reviews in Musculoskeletal Medicine	Curr Rev Musculoskelet Med	1935-973X	1935-9748	springer-vancouver-brackets	numeric	medicine	en-US
Petroleum Science		1672-5107	1995-8226	springer-vancouver-author-date	author-date		en-US
International Journal of Hematology	Int J Hematol	0925-5710	1865-3774	springer-vancouver-brackets	numeric	medicine	en-US
Vocations and Learning	Vocations and Learning	1874-785X	1874-7868	springer-socpsych-author-date	author-date	psychology	en-US
Child Indicators Research	Child Ind Res	1874-897X	1874-8988	springer-socpsych-author-date	author-date	psychology	en-US
Abhandlungen aus dem Mathematischen Seminar der Universität Hamburg	Abh. Math. Semin. Univ. Hambg.	0025-5858	1865-8784	springer-mathphys-brackets	numeric	science	en-US
Journal of Applied Mathematics and Computing	J. Appl. Math. Comput.	1598-5865	1865-2085	springer-mathphys-brackets	numeric	science	en-US
Cell Stress and Chaperones	Cell Stress and Chaperones	1355-8145	1466-1268	springer-basic-author-date	author-date	science	en-US
Journal on Multimodal User Interfaces	J Multimodal User Interfaces	1783-7677	1783-8738	springer-basic-brackets	numeric	science	en-US
Radiological Physics and Technology	Radiol Phys Technol 	1865-0333	1865-0341	springer-vancouver-brackets	numeric	medicine	en-US
Journal of Economics and Finance	J Econ Finan	1055-0925	1938-9744	springer-basic-author-date	author-date	science	en-US
Journal of Transportation Security	J Transp Secur	1938-7741	1938-775X	springer-basic-author-date	author-date	science	en-US
Environmental Health and Preventive Medicine	Environ Health Prev Med	1342-078X	1347-4715	springer-vancouver-brackets	numeric	medicine	en-US
Psychological Injury and Law	Psychol. Inj. and Law	1938-971X	1938-9728	springer-socpsych-author-date	author-date	psychology	en-US
International Review on Public and Nonprofit Marketing	Int Rev Public Nonprofit Mark	1865-1984	1865-1992	springer-socpsych-author-date	author-date	science	en-US
Rendiconti Lincei	Rend. Fis. Acc. Lincei	2037-4631	1720-0776	springer-basic-author-date	author-date	science	en-US
Journal of Micro-Bio Robotics	J Micro-Bio Robot	2194-6418	2194-6426	springer-basic-brackets	numeric	science	en-US
Rendiconti del Circolo Matematico di Palermo (1952 -)	Rend. Circ. Mat. Palermo	0009-725X	1973-4409	springer-mathphys-brackets	numeric	science	en-US
Microgravity Science and Technology	Microgravity Sci. Technol.	0938-0108	1875-0494	springer-mathphys-author-date	author-date	science	en-US
The Journal of Geometric Analysis	J Geom Anal	1050-6926	1559-002X	springer-mathphys-brackets	numeric	science	en-US
Folia Microbiologica	Folia Microbiol	0015-5632	1874-9356	springer-basic-author-date	author-date	science	en-US
American Journal of Potato Research	Am. J. Potato Res.	1099-209X	1874-9380	springer-humanities-author-date	author-date	humanities	en-US
International Review of Economics	Int Rev Econ	1865-1704	1863-4613	springer-basic-author-date	author-date	science	en-US
Estuaries and Coasts	Estuaries and Coasts	1559-2723	1559-2731	springer-humanities-author-date	author-date	humanities	en-US
annals of telecommunications - annales des télécommunications	Ann. Telecommun.	0003-4347	1958-9395	springer-basic-brackets	numeric	science	en-US
International Journal of Emergency Medicine		1865-1372	1865-1380	springer-basic-brackets	numeric		en-US
Journal of Pharmaceutical Innovation	J Pharm Innov	1872-5120	1939-8042	springer-vancouver-brackets	numeric	medicine	en-US
The AAPS Journal	AAPS J		1550-7416	springer-vancouver-brackets	numeric	medicine	en-US
AAPS PharmSciTech	AAPS PharmSciTech 		1530-9932	springer-vancouver-brackets	numeric	medicine	en-US
Pathology & Oncology Research	Pathol. Oncol. Res.	1219-4956	1532-2807	springer-basic-brackets	numeric	science	en-US
memo - Magazine of European Medical Oncology	memo	1865-5041	1865-5076	springer-vancouver-brackets	numeric	medicine	en-US
Indian Journal of Surgery	Indian J Surg	0972-2068	0973-9793	springer-basic-brackets	numeric	science	en-US
Genes & Nutrition	Genes Nutr	1555-8932	1865-3499	springer-basic-author-date	author-date	science	en-US
Journal of Cardiovascular Translational Research	J. of Cardiovasc. Trans. Res.	1937-5387	1937-5395	springer-socpsych-brackets	numeric	psychology	en-US
Neuroforum (German)		0947-0875	2363-7013	springer-basic-brackets	numeric		de-DE
Archives of Pharmacal Research	Arch. Pharm. Res.	0253-6269	1976-3786	springer-humanities-author-date	author-date	humanities	en-US
Current Fungal Infection Reports	Curr Fungal Infect Rep	1936-3761	1936-377X	springer-vancouver-brackets	numeric	medicine	en-US
Breast Cancer	Breast Cancer	1340-6868	1880-4233	springer-vancouver-brackets	numeric	medicine	en-US
Sports Engineering	Sports Eng	1369-7072	1460-2687	springer-basic-brackets	numeric	science	en-US
Rice		1939-8425	1939-8433	springer-basic-author-date	author-date		en-US
Zeitschrift für Vergleichende Politikwissenschaft (German)	Z Vgl Polit Wiss	1865-2646	1865-2654	springer-humanities-author-date	author-date	humanities	de-DE
Indian Journal of Hematology and Blood Transfusion	Indian J Hematol Blood Transfus	0971-4502	0974-0449	springer-basic-brackets	numeric	science	en-US
International Journal of Material Forming	Int J Mater Form	1960-6206	1960-6214	springer-basic-brackets	numeric	science	en-US
European View	European View	1781-6858	1865-5831	springer-socpsych-author-date	author-date	psychology	en-US
Indian Journal of Clinical Biochemistry	Ind J Clin Biochem	0970-1915	0974-0422	springer-vancouver-brackets	numeric	medicine	en-US
Memetic Computing	Memetic Comp.	1865-9284	1865-9292	springer-basic-brackets	numeric	science	en-US
Zeitschrift für die gesamte Versicherungswissenschaft (German)	ZVersWiss	0044-2585	1865-9748	springer-mathphys-author-date	author-date	science	de-DE
Physiology and Molecular Biology of Plants	Physiol Mol Biol Plants	0971-5894	0974-0430	springer-basic-author-date	author-date	science	en-US
Environmental Sciences Europe		2190-4707	2190-4715	springer-basic-brackets	numeric		en-US
Biosemiotics	Biosemiotics	1875-1342	1875-1350	springer-socpsych-author-date	author-date	psychology	en-US
MUSCULOSKELETAL SURGERY	Musculoskelet Surg	2035-5106	2035-5114	springer-basic-brackets	numeric	science	en-US
Cancer Microenvironment	Cancer Microenvironment 	1875-2292	1875-2284	springer-basic-brackets	numeric	science	en-US
Journal of Hematopathology	J Hematopathol	1868-9256	1865-5785	springer-basic-brackets	numeric	science	en-US
School Mental Health	School Mental Health	1866-2625	1866-2633	springer-socpsych-author-date	author-date	psychology	en-US
The Cerebellum	Cerebellum	1473-4222	1473-4230	springer-vancouver-brackets	numeric	medicine	en-US
Advances in Therapy		0741-238X	1865-8652	springer-vancouver-brackets	numeric		en-US
hautnah (German)		1866-2250	2192-6484	springer-basic-brackets	numeric		de-DE
Clinical Journal of Gastroenterology	Clin J Gastroenterol	1865-7257	1865-7265	springer-vancouver-brackets	numeric	medicine	en-US
Qualitative Theory of Dynamical Systems	Qual. Theory Dyn. Syst.	1575-5460	1662-3592	springer-mathphys-brackets	numeric	science	en-US
Journal of Ophthalmic Inflammation and Infection			1869-5760	springer-basic-brackets	numeric		en-US
Mediterranean Journal of Nutrition and Metabolism	Mediterr J Nutr Metab	1973-798X	1973-7998	springer-basic-brackets	numeric	science	en-US
Journal of Nuclear Cardiology	J. Nucl. Cardiol.	1071-3581	1532-6551	springer-basic-brackets	numeric	science	en-US
Operational Research	Oper Res Int J	1109-2858	1866-1505	springer-basic-author-date	author-date	science	en-US
Sugar Tech	Sugar Tech	0972-1525	0974-0740	springer-humanities-author-date	author-date	humanities	en-US
Annals of Solid and Structural Mechanics	Ann. Solid Struct. Mech.	1867-6936	1867-6944	springer-basic-brackets	numeric	science	en-US
International Journal of Social Robotics	Int J of Soc Robotics	1875-4791	1875-4805	springer-basic-brackets	numeric	science	en-US
Geoheritage	Geoheritage	1867-2477	1867-2485	springer-basic-author-date	author-date	science	en-US
Medicine Studies	Medicine Studies	1876-4533	1876-4541	springer-humanities-author-date	author-date	humanities	en-US
Food Engineering Reviews	Food Eng Rev	1866-7910	1866-7929	springer-basic-brackets	numeric	science	en-US
Contemporary Jewry	Cont Jewry	0147-1694	1876-5165	springer-humanities-author-date	author-date	humanities	en-US
Zeitschrift für Energiewirtschaft (German)	Z Energiewirtsch	0343-5377	1866-2765	springer-basic-author-date	author-date	science	de-DE
Zeitschrift für Außen- und Sicherheitspolitik (German)	Z Außen Sicherheitspolit	1866-2188	1866-2196	springer-socpsych-author-date	author-date	psychology	de-DE
ADHD Attention Deficit and Hyperactivity Disorders	ADHD Atten Def Hyp Disord	1866-6116	1866-6647	springer-basic-author-date	author-date	science	en-US
Water Quality, Exposure and Health	Water Qual Expo Health	1876-1658	1876-1666	springer-basic-author-date	author-date	science	en-US
Current Cardiovascular Imaging Reports	Curr Cardiovasc Imaging Rep	1941-9066	1941-9074	springer-vancouver-brackets	numeric	medicine	en-US
Bijblijven (Dutch)		0168-9428	1876-4916	springer-vancouver-brackets	numeric		nl-NL
Jeugdbeleid (Dutch)		1873-9482	1876-6056	springer-socpsych-author-date	author-date		nl-NL
JGZ Tijdschrift voor jeugdgezondheidszorg (Dutch)		1567-8644	1876-598X	springer-vancouver-brackets	numeric		nl-NL
Kind & Adolescent (Dutch)		0167-2436	1876-5998	springer-socpsych-author-date	author-date		nl-NL
Public Transport	Public Transp	1866-749X	1613-7159	springer-basic-author-date	author-date	science	en-US
Netherlands Heart Journal	Neth Heart J	1568-5888	1876-6250	springer-vancouver-brackets	numeric	medicine	en-US
Verslaving (Dutch)		1574-1842	1875-7073	springer-socpsych-author-date	author-date		nl-NL
Arabian Journal of Geosciences	Arab J Geosci	1866-7511	1866-7538	springer-basic-author-date	author-date	science	en-US
Applied Geomatics	Appl Geomat	1866-9298	1866-928X	springer-basic-author-date	author-date	science	en-US
Archaeological and Anthropological Sciences	Archaeol Anthropol Sci	1866-9557	1866-9565	springer-basic-author-date	author-date	science	en-US
Reproductive Medicine and Biology	Reprod Med Biol	1445-5781	1447-0578	springer-vancouver-brackets	numeric	medicine	en-US
Journal of the Indian Society of Remote Sensing	J Indian Soc Remote Sens	0255-660X	0974-3006	springer-socpsych-author-date	author-date	psychology	en-US
Electronic Markets	Electron Markets	1019-6781	1422-8890	springer-socpsych-author-date	author-date	psychology	en-US
Marine Biodiversity	Mar Biodiv	1867-1616	1867-1624	springer-basic-author-date	author-date	science	en-US
Journal of Computing in Higher Education	J Comput High Educ	1042-1726	1867-1233	springer-socpsych-author-date	author-date	psychology	en-US
International Journal of Behavioral Medicine	Int.J. Behav. Med.	1070-5503	1532-7558	springer-vancouver-brackets	numeric	medicine	en-US
Evolving Systems	Evolving Systems	1868-6478	1868-6486	springer-basic-author-date	author-date	science	en-US
Mathematical Programming Computation	Math. Prog. Comp.	1867-2949	1867-2957	springer-mathphys-brackets	numeric	science	en-US
