Title	ISSN	EISSN	category-field	parent	documentation
Journal of African Cultural Studies	1369-6815	1469-9346	political_science	chicago-author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=CJAC20&page=instructions
Journal of Beliefs & Values	1361-7672	1469-9362	social_science	chicago-author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=CJBV20&page=instructions
Journal of Contemporary African Studies	0258-9001	1469-9397	political_science	chicago-author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=CJCA20&page=instructions
Journal of Children and Poverty	1079-6126	1469-9389	social_science	chicago-author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=CJCP20&page=instructions
Journal of Contemporary European Studies	1478-2804	1478-2790	political_science	chicago-author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=CJEA20&page=instructions
Learning, Media and Technology	1743-9884	1743-9892	social_science	chicago-author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=CJEM20&page=instructions
Journal of Environmental Planning and Management	0964-0568	1360-0559	biology	chicago-author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=CJEP20&page=instructions
Journal of social_science for Teaching	0260-7476	1360-0540	social_science	chicago-author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=CJET20&page=instructions
Journal of social_science and Work	1363-9080	1469-9435	social_science	chicago-author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=CJEW20&page=instructions
Journal of Further and Higher social_science	0309-877X	1469-9486	social_science	chicago-author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=CJFH20&page=instructions
Journal of Geography in Higher social_science	0309-8265	1466-1845	biology	apa	http://www.tandfonline.com/action/authorSubmission?journalCode=CJGH20&page=instructions
Journal of Gender Studies	0958-9236	1465-3869	social_science	apa	http://www.tandfonline.com/action/authorSubmission?journalCode=CJGS20&page=instructions
Journal of Intellectual & Developmental Disability	1366-8250	1469-9532	medicine	apa	http://www.tandfonline.com/action/authorSubmission?journalCode=CJID20&page=instructions
Journal of Iberian and Latin American Studies	1470-1847	1469-9524	political_science	chicago-author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=CJIL20&page=instructions
Journal of Latin American Cultural Studies	1356-9325	1469-9575	political_science	chicago-author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=CJLA20&page=instructions
Journal of Moral social_science	0305-7240	1465-3877	social_science	apa	http://www.tandfonline.com/action/authorSubmission?journalCode=CJME20&page=instructions
Journal of Ethnic and Migration Studies	1369-183X	1469-9451	social_science	chicago-author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=CJMS20&page=instructions
Journal of Environmental Policy & Planning	1523-908X	1522-7200	biology	apa	http://www.tandfonline.com/action/authorSubmission?journalCode=CJOE20&page=instructions
International Journal of Logistics Research and Applications	1367-5567	1469-848X	engineering	chicago-author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=CJOL20&page=instructions
